,city,status,date,lat,lon
196,Тлумач,occupied,1941-07-05,48.866861,25.001194
197,Тлумач,rescued,1944-03-29,48.866861,25.001194
198,Тлумач,occupied,1944-04-18,48.866861,25.001194
199,Тлумач,rescued,1944-07-25,48.866861,25.001194
200,Тростянец,occupied,1941-10-16,50.283,34.5818
201,Тростянец,rescued,1943-02-21,50.283,34.5818
202,Тростянец,occupied,1943-03-11,50.283,34.5818
203,Тростянец,rescued,1943-08-19,50.283,34.5818
204,Тукумс,occupied,1941-06-27,56.96694,23.15306
205,Тукумс,rescued,1944-07-30,56.96694,23.15306
206,Тукумс,occupied,1944-08-21,56.96694,23.15306
207,Тукумс,rescued,1945-05-08,56.96694,23.15306
208,Феодосия,occupied,1941-11-03,45.04889,35.37917
209,Феодосия,rescued,1941-12-29,45.04889,35.37917
210,Феодосия,occupied,1942-01-18,45.04889,35.37917
211,Феодосия,rescued,1944-04-13,45.04889,35.37917
212,Харьков,occupied,1941-10-25,50,36.16667
213,Харьков,rescued,1943-02-16,50,36.16667
214,Харьков,occupied,1943-03-16,50,36.16667
215,Харьков,rescued,1943-08-23,50,36.16667
216,Ходоров,occupied,1941-07-02,49.41,24.30944
217,Ходоров,rescued,1944-07-27,49.41,24.30944
218,Ходоров,occupied,1941-08-03,49.41,24.30944
219,Ходоров,rescued,1944-02-21,49.41,24.30944
220,Хыров,occupied,1941-06-28,49.53556,22.85444
221,Хыров,rescued,1944-07-27,49.53556,22.85444
222,Хыров,occupied,1944-07-30,49.53556,22.85444
223,Хыров,rescued,1944-08-08,49.53556,22.85444
224,Харьков,occupied,1941-10-25,50,36.16667
225,Харьков,rescued,1943-02-16,50,36.16667
226,Харьков,occupied,1943-03-16,50,36.16667
227,Харьков,rescued,1943-08-23,50,36.16667
228,Ходоров,occupied,1941-07-02,49.41,24.30944
229,Ходоров,rescued,1944-07-27,49.41,24.30944
230,Ходоров,occupied,1941-08-03,49.41,24.30944
231,Ходоров,rescued,1944-02-21,49.41,24.30944
232,Хыров,occupied,1941-06-28,49.53556,22.85444
233,Хыров,rescued,1944-07-27,49.53556,22.85444
234,Хыров,occupied,1944-07-30,49.53556,22.85444
235,Хыров,rescued,1944-08-08,49.53556,22.85444
236,Чаплино,occupied,1941-10-02,48.0738,36.1415
237,Чаплино,rescued,1943-09-09,48.0738,36.1415
238,Чаплино,occupied,1943-09-15,48.0738,36.1415
239,Чаплино,rescued,1943-09-16,48.0738,36.1415
240,Чугуев,occupied,1941-10-30,49.835277777778,36.675555555556
241,Чугуев,rescued,1943-02-10,49.835277777778,36.675555555556
242,Чугуев,occupied,1943-03-15,49.835277777778,36.675555555556
243,Чугуев,rescued,1943-08-11,49.835277777778,36.675555555556
244,Ялта,occupied,1941-11-08,44.49944,34.15528
245,Ялта,rescued,1944-04-15,44.49944,34.15528
248,Ярцево,occupied,1941-07-16,55.06667,32.68333
249,Ярцево,rescued,1941-07-19,55.06667,32.68333
250,Ярцево,occupied,1941-10-05,55.06667,32.68333
251,Ярцево,rescued,1943-09-16,55.06667,32.68333
253,Дружба,rescued,1945-01-26,52.0252,33.5623
255,Калиновка,rescued,1945-01-20,49.265,28.3123
257,Берегово,rescued,1944-10-26,48.2025,22.6375
259,Знаменск,rescued,1945-01-23,54.37,21.13
261,Гусев,rescued,1945-01-20,54.35,22.12
263,Хуст,rescued,1944-10-24,48.18139,23.29778
265,Озерск,rescued,1945-01-23,54.25,22.01
267,Черняховск,rescued,1945-01-22,54.63333,21.81667
269,Северо-Курильск,rescued,1945-08-24,50.4,156.07
271,Ясное,rescued,1945-01-20,55.11,21.33
273,Калининград,rescued,1945-04-09,54.71667,20.5
275,Полесск,rescued,1945-01-23,54.86667,21.1
277,Ладушкин,rescued,1945-03-18,54.56667,20.16667
279,Холмск,rescued,1945-08-20,47.04028,142.04306
281,Клайпеда,rescued,1945-01-28,55.7075,21.14278
283,Мукачево,rescued,1944-10-26,48.44139,22.71361
285,Гурьевск,rescued,1945-01-28,54.46,20.36
287,Крылово,rescued,1945-01-26,54.205,21.332
289,Долинск,rescued,1945-08-25,47.31667,142.8
291,Корсаков,rescued,1945-08-25,46.38,142.46
295,Балтийск,rescued,1945-04-25,54.65,19.91667
297,Добровольск,rescued,1945-01-16,54.46,22.3
299,Пагегяй,rescued,1944-10-21,55.13611,21.90556
301,Багратионовск,rescued,1945-02-10,54.38333,20.63333
303,Рахов,rescued,1944-10-16,48.05,24.21667
305,Анива,rescued,1945-08-26,46.43,142.31
307,Виноградов,rescued,1944-10-25,48.0859,23.013
309,Поронайск,rescued,1945-08-20,49.21667,143.1
311,Макаров,rescued,1945-08-22,50.28,29.49
313,Гвардейск,rescued,1945-01-25,54.65,21.06667
315,Советск,rescued,1945-01-20,55.05,21.53
317,Южно-Сахалинск,rescued,1945-08-25,46.57,142.44
319,Ужгород,rescued,1944-10-27,48.62389,22.295
321,Приморск,rescued,1945-04-17,60.2158,28.3649
323,Правдинск,rescued,1945-01-31,54.45,21.01667
325,Мамоново,rescued,1945-03-25,54.46667,19.93333
327,Славск,rescued,1945-01-20,55.05,21.66667
329,Невельск,rescued,1945-08-24,46.65,141.86667
331,Мамоново,rescued,1945-03-25,54.46667,19.93333
333,Славск,rescued,1945-01-20,55.05,21.66667
335,Невельск,rescued,1945-08-24,46.65,141.86667
337,Шилуте,rescued,1944-10-10,55.35,21.48333
339,Нестеров,rescued,1944-10-25,54.38,22.34
341,Углегорск,rescued,1945-08-17,48.19,38.17
342,Балаклава,occupied,1941-11-08,44.5,33.6
343,Балаклава,rescued,1944-04-18,44.5,33.6
344,Бежица,occupied,1941-10-06,53.30833,34.30833
345,Бежица,rescued,1943-09-17,53.30833,34.30833
346,Воронеж,occupied,1942-07-06,51.67167,39.21056
347,Воронеж,rescued,1943-01-25,51.67167,39.21056
348,Новороссийск,occupied,1942-09-10,44.71667,37.76667
349,Новороссийск,rescued,1943-09-16,44.71667,37.76667
350,Волгоград,occupied,1942-11-11,48.71167,44.51389
351,Волгоград,rescued,1943-02-02,48.71167,44.51389
352,Пыталово,occupied,1941-07-05,57.06667,27.91667
353,Пыталово,rescued,1944-07-22,57.06667,27.91667
354,Азов,occupied,1942-07-27,47.1,39.41667
355,Азов,rescued,1943-02-07,47.1,39.41667
356,Айзпуте,occupied,1941-07-01,56.72111,21.60167
357,Айзпуте,rescued,1945-05-09,56.72111,21.60167
358,Айнажи,occupied,1941-07-04,57.86361,24.35861
