,city,occupied,rescued,lat,lon
335,Зарасай,1941-06-25,1944-07-29,55.73056,26.24722
336,Збараж,1941-07-02,1944-03-06,49.664574286972,25.775386058654
337,Зборов,1941-07-02,1944-07-20,49.661605155854,25.146931109789
338,Звенигородка,1941-07-29,1944-01-28,49.08333,30.96667
339,Здолбунов,1941-06-28,1944-02-03,50.51444,26.24944
340,Зеньков,1941-10-09,1943-09-06,50.208139083815,34.366841820448
341,Зилупе,1941-07-06,1944-07-18,56.38556,28.1225
342,Зимовники,1942-08-07,1943-01-08,47.0842,42.28
343,Злынка,1941-08-25,1943-09-26,52.43333,31.73333
344,Знаменка,1941-08-05,1943-12-09,48.4249,32.4024
345,Золотое,1942-07-12,1943-09-03,48.68333,38.51667
346,Золотоноша,1941-09-19,1943-09-22,49.68333,32.03333
347,Золочев,1941-07-01,1944-07-17,49.4833,24.5402
348,Зубцов,1941-10-11,1942-08-23,56.16667,34.58333
349,Зугрэс,1941-10-25,1943-09-03,48.0181028,38.2562778
350,Идрица,1941-07-15,1944-07-12,56.31667,28.88333
351,Измаил,1941-07-19,1944-08-05,45.35,28.83333
352,Изюм,1942-06-24,1943-02-05,49.1326,37.1729
353,Изяслав,1941-07-05,1944-03-05,50.07,26.48
354,Иловайск,1941-10-22,1943-09-04,47.925,38.19722
355,Илуксте,1941-06-28,1944-07-29,55.97806,26.29667
356,Ионава,1941-06-25,4944-07-29,55.07222,24.28056
357,Ионишкис,1941-06-26,1944-07-28,56.24335,23.617859
358,Ирмино,1942-07-12,1943-09-03,48.6,38.6
359,Истра,1941-11-27,1941-12-11,55.55,36.52
360,Йыгева,1941-07-15,1944-09-20,58.73333,26.38333
361,Кагул,1941-07-20,1944-08-25,45.5427,28.114
362,Казатин,1941-07-15,1943-12-28,55.75167,37.61778
363,Калараш,1941-07-14,1944-08-23,47.25444,28.30806
364,Калвария,1941-06-22,1944-08-01,54.41472,23.22806
365,Калинин,1941-10-17,1941-12-16,56.5128,35.5518
366,Калинковичи,1941-08-22,1944-01-14,52.13333,29.33333
367,Калласте,1941-07-25,1944-09-18,58.66667,27.16667
368,Калуга,1941-10-13,1941-12-30,54.53333,36.26667
369,Калуш,1941-07-02,1944-07-30,49.04417,24.35972
370,Каменец-Подольский,1941-07-11,1944-03-26,48.405,26.345
371,Каменка-Бугская,1941-06-29,1944-07-20,50.0629,24.2044
372,Каменск-Шахтинский,1942-07-18,1943-02-13,48.19,40.16
373,Камень-Каширский,1941-06-30,1944-03-13,51.3727,24.5738
374,Кандава,1941-07-03,1945-05-09,57.03639,22.77611
375,Канев,1941-08-16,1944-01-30,49.74472,31.45583
376,Кантемировка,1942-07-10,1942-12-19,49.70167,39.85361
377,Белогорск,1941-11-03,1944-04-13,45.0316,34.3608
378,Карачев,1941-10-06,1943-08-15,53.11667,34.98333
379,Карсава,1941-07-04,1944-07-27,56.78667,27.67389
380,Каунас,1941-06-23,1944-08-01,54.9,23.93333
381,Каховка,1941-08-30,1943-11-02,46.8,33.46667
382,Кедайняй,1941-06-25,1944-08-02,55.28333,23.96667
383,Кейла,1941-08-25,1944-09-23,59.30833,24.41667
384,Приозерск,1941-08-21,1944-09-24,61.03333,30.11667
385,Кибартай,1941-06-22,1944-10-18,54.63889,22.75556
386,Киев,1941-09-19,1943-11-06,50.45,30.51667
387,Килинги-Нымме,1941-07-07,1944-09-25,58.09,24.58
388,Ленинградская область,1941-08-16,1944-02-01,60.05,31.75
389,Киров,1941-10-04,1942-01-11,58.6,49.65
390,Кировоград,1941-08-04,1944-01-08,48.51,32.26667
391,Кисловодск,1942-08-10,1943-01-10,43.90333,42.72444
392,Кицмань,1941-07-05,1944-03-28,48.4425,25.76139
393,Кишинев,1941-07-16,1944-08-24,47.02278,28.83528
394,Клецк,1941-06-26,1944-07-04,53.06361,26.63722
395,Климовичи,1941-08-10,1943-09-28,53.61667,31.95
396,Клин,1941-11-23,1941-12-15,56.2002,36.4245
397,Клинцы,1941-08-20,1943-09-25,52.75278,32.23611
398,Кобеляки,1941-09-15,1943-09-25,49.147360237501,34.199270075853
399,Кобрин,1941-06-23,1944-07-20,52.2,24.35
400,Ковель,1941-06-28,1944-07-06,51.21667,24.71667
401,Козельск,1941-10-08,1941-12-28,54.03333,35.78333
402,Приморск,1941-09-02,1944-06-18,60.2158,28.3649
403,Коломыя,1941-07-04,1944-03-28,48.51667,25.03333
404,Комарно,1941-06-30,1944-07-29,49.375,23.4211
405,Кондопога,1941-11-03,1944-06-28,62.2,34.26667
406,Кондрово,1941-10-09,1942-01-19,54.8,35.93333
407,Конотоп,1941-09-03,1943-09-06,51.23693688586,33.202706157203
408,Константиновка,1941-10-28,1943-09-06,48.53333,37.71667
409,Корец,1941-07-05,1944-01-12,50.61667,27.16667
410,Короча,1942-07-01,1943-02-07,50.81361,37.18139
411,Корсунь-Шевченковский,1941-07-30,1944-02-14,49.2534,31.165
412,Косов,1941-07-01,1944-03-31,48.315,25.09528
413,Коссово,1941-06-26,1944-07-11,52.75,25.15
414,Костополь,1941-07-05,1944-01-14,50.88333,26.44306
415,Костюковичи,1941-08-14,1943-09-28,53.33889,32.04611
416,Котельниково,1942-08-02,1942-12-29,47.63333,43.13333
417,Котовск,1941-08-05,1944-03-31,52.58333,41.5
418,Краслава,1941-07-05,1944-07-22,55.89556,27.16444
419,Гатчина,1941-09-13,1944-01-26,59.56841,30.122892
420,Красногоровка,1941-10-19,1943-09-10,48.0,37.31
421,Красноград,1941-09-20,1943-09-19,49.371944444444,35.456944444444
422,Краснодар,1942-08-12,1943-02-12,45.03333,38.98333
423,Краснодон,1942-07-19,1943-02-14,48.3,39.73333
424,Красное,1941-06-30,1944-07-17,46.382,29.493
425,Красное село,1941-09-12,1944-01-19,59.73333,30.08333
426,Красный Лиман,1942-07-08,1943-01-31,48.59,37.485
427,Красный Луч,1942-07-19,1943-09-01,48.0717,38.5643
428,Красный Сулин,1942-07-21,1943-02-14,47.53,40.04
429,Кременец,1941-07-02,1944-03-19,50.097451401565,25.735096191342
430,Кременная,1942-07-10,1943-01-31,49.05,38.21667
431,Кременчуг,1941-09-08,1943-09-29,49.0775,33.42389
432,Кретинга,1941-06-22,1944-10-10,55.8942111,21.2471722
433,Кривой Рог,1941-08-15,1944-02-22,47.5431,33.2036
434,Кричев,1941-07-17,1943-09-29,53.71944,31.71389
435,Кролевец,1941-09-03,1943-09-01,51.552868409242,33.382509437934
436,Кулагино,1941-07-15,1943-09-16,51.5317,53.3903
437,Кулдига,1941-07-01,1945-05-09,56.96722,21.97
438,Кунда,1941-08-07,1944-09-21,59.5,26.53333
